Web Search interest: smite gods
Worldwide 2014

Interest over time
Week,smite gods
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,47
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,43
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,50
2014-02-23 - 2014-03-01,41
2014-03-02 - 2014-03-08,48
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,53
2014-03-23 - 2014-03-29,80
2014-03-30 - 2014-04-05,79
2014-04-06 - 2014-04-12,71
2014-04-13 - 2014-04-19,70
2014-04-20 - 2014-04-26,69
2014-04-27 - 2014-05-03,69
2014-05-04 - 2014-05-10,75
2014-05-11 - 2014-05-17,67
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,60
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,82
2014-06-15 - 2014-06-21,75
2014-06-22 - 2014-06-28,57
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,70
2014-07-13 - 2014-07-19,74
2014-07-20 - 2014-07-26,72
2014-07-27 - 2014-08-02,100
2014-08-03 - 2014-08-09,79
2014-08-10 - 2014-08-16,70
2014-08-17 - 2014-08-23,64
2014-08-24 - 2014-08-30,67
2014-08-31 - 2014-09-06,62
2014-09-07 - 2014-09-13,60
2014-09-14 - 2014-09-20,55
2014-09-21 - 2014-09-27,60
2014-09-28 - 2014-10-04,51
2014-10-05 - 2014-10-11,59
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,58
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,47
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,48
2014-11-23 - 2014-11-29,45
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,55
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,67


Top regions for smite gods
Region,smite gods
United States,100





Top searches for smite gods
gods in smite,100
best smite gods,85
all smite gods,65
smite gods list,60
smite free gods,50
smite top gods,30
smite new gods,30
smite game,25
smite op gods,20
smite wiki,20
smite wiki gods,20



Rising searches for smite gods
smite top gods,+50%
best smite gods,+40%



